indicator,region,source,hazard_class,category,subcategory,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,years_with_data
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,За видами КВЕД,Металургійне виробництво,,,,,,43558100.0,,3950000.0,,3374200.0,3
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,За видами КВЕД,Виробництво хімічних речовин і хімічної продукції,,,,,,1324100.0,,691300.0,,629600.0,3
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,За видами КВЕД,Переробна промисловість,31000500.0,34093000.0,32176700.0,31523200.0,,52311000.0,,7947200.0,7188400.0,7764900.0,8
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,За видами КВЕД,Виробництво напоїв,,,,,,700.0,,200.0,,100.0,3
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,За видами КВЕД,"Збирання, оброблення й видалення відходів; відновлення матеріалів",3100.0,2600.0,900.0,2500.0,,200.0,,300.0,100.0,200.0,8
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),Непридатні транспортні засоби,3100.0,2000.0,1200.0,1600.0,1200.0,1000.0,10600.0,200.0,400.0,900.0,10
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,За видами КВЕД,Виробництво харчових продуктів,4222200.0,5089800.0,6446500.0,5818400.0,,4158700.0,,1770400.0,2011300.0,2082699.9999999998,8
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,За видами КВЕД,Добування інших корисних копалин та розроблення кар'єрів,,,,,,1300.0,,200.0,,4600.0,3
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,За видами КВЕД,"Каналізація, відведення й очищення стічних вод",14600.0,10600.0,57500.0,109800.0,,94900.0,,223300.0,242100.0,259500.0,8
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),"Відходи, що містять поліхлордифеніли",500.0,100.0,200.0,200.0,300.0,200.0,200.0,100.0,100.0,0.0,10
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,За видами КВЕД,"Сільське господарство, лісове господарство та рибне господарство",8643200.0,6167900.0,6167900.0,5915000.0,,5289700.0,,4193200.0,5404200.0,3438900.0,8
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),Хімічні відходи,913400.0,940700.0,834200.0,806100.0,620400.0,663200.0,533400.0,168800.0,320800.0,25600.0,10
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,За видами КВЕД,Інша діяльність щодо поводження з відходами,0.0,0.0,0.0,0.0,,0.0,,100.0,100.0,0.0,8
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,За видами КВЕД,"Водопостачання; каналізація, поводження з відходами",590600.0,407300.0,407300.0,390200.0,,323400.0,,520200.00000000006,506200.0,562500.0,8
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),Відходи кольорових металів,30100.0,23500.0,28300.0,40600.0,27100.0,24300.0,26000.0,22400.0,18500.0,24100.0,10
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,За видами КВЕД,Добування металевих руд,238156600.0,222476600.0,293710500.0,282481900.0,,366901000.0,,169963900.0,147566000.0,206516300.0,8
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,За видами КВЕД,Добування кам'яного та бурого вугілля,,,,,,14576200.0,,11832500.0,,10796000.0,3
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),Використані розчинники,31600.0,1100.0,1000.0,1200.0,1500.0,2400.0,2200.0,4500.0,1600.0,900.0,10
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,За видами КВЕД,Переробна промисловість,404500.0,449400.0,498100.0,472900.0,,415400.0,,154300.0,115100.0,44700.0,8
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),Текстильні відходи,8000.0,18800.0,20800.0,15900.0,12400.0,21900.0,14200.0,20800.0,7800.0,6500.0,10
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,За видами КВЕД,Будівництво,376200.0,300200.0,493800.0,378800.0,,14500.0,,286300.0,617500.0,654600.0,8
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),Паперові та картонні відходи,111000.0,184500.0,183500.0,146400.0,129500.0,140800.0,186900.0,569800.0,169700.0,170500.0,10
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,За видами КВЕД,Добувна промисловість і розроблення кар'єрів,257861900.0,237461400.0,313738200.0,301448900.0,,391077900.0,,182057200.0,160960500.0,217785200.0,8
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,За видами КВЕД,Інша діяльність щодо поводження з відходами,2000.0,2000.0,2000.0,2300.0,,2100.0,,2000.0,6400.0,8700.0,8
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,За видами КВЕД,"Забір, очищення та постачання води",397600.0,308100.0,239000.0,212800.0,,230900.0,,127600.0,151500.0,181500.0,8
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,За видами КВЕД,"Постачання електроенергії, газу, пари та кондиційованого повітря",6400.0,11100.0,10900.0,20400.0,,14500.0,,11200.0,22000.0,7600.0,8
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,За видами КВЕД,Виробництво напоїв,,,,,,325100.0,,271800.0,,360600.0,3
